,price,year,manufacturer,model,condition,fuel,odometer,title_status,transmission,type,paint_color
47957,20590,2017.0,toyota,camry xse sedan 4d,good,other,7486.0,clean,other,sedan,white
47958,3500,2006.0,honda,civic,,gas,189000.0,salvage,automatic,,
47959,16000,2013.0,ford,explorer xlt,excellent,gas,96958.0,clean,automatic,SUV,white
47960,16999,2016.0,chevrolet,"malibu lt w/ turbo, navigation",,gas,51018.0,clean,automatic,sedan,red
47961,18999,2017.0,subaru,"impreza limited awd, w/ leather, navigation",,gas,60922.0,clean,automatic,wagon,silver
47962,14599,2015.0,nissan,altima 2.5 s w/ power seat,,gas,89870.0,clean,automatic,sedan,blue
47963,21599,2015.0,chevrolet,camaro lt w/ manual 6-spd,,gas,60883.0,clean,manual,coupe,grey
47964,26999,2018.0,toyota,camry xse w/ bird's eye view cameras,,gas,41392.0,clean,automatic,sedan,black
47965,12999,2014.0,ford,taurus se w/ dual power seats,,gas,67547.0,clean,automatic,sedan,white
47966,15999,2013.0,ford,"escape titanium 4wd, w/ navigation",,gas,81878.0,clean,automatic,SUV,white
47967,13999,2013.0,kia,optima ex w/ leather,,gas,70724.0,clean,automatic,sedan,white
47968,16999,2011.0,honda,"pilot ex-l awd, 3rd row seating",,gas,119816.0,clean,automatic,SUV,grey
47969,19999,2013.0,dodge,challenger sxt plus w/ super sport group,,gas,62322.0,clean,automatic,coupe,black
47970,2900,1959.0,ford,1959 f-100,good,gas,80000.0,clean,automatic,truck,white
47971,3500,2005.0,ford,mustang,salvage,gas,95500.0,salvage,automatic,convertible,silver
47972,11915,2015.0,ford,fusion se,excellent,gas,97963.0,clean,automatic,sedan,silver
47973,6477,2012.0,ford,focus se,,gas,148702.0,clean,automatic,sedan,red
47974,23900,2000.0,ford,f-450,,gas,142858.0,clean,automatic,other,white
47975,18900,2008.0,ford,f-350,,gas,124942.0,clean,automatic,other,white
47976,30900,2000.0,ford,f-450,,gas,97456.0,clean,automatic,other,white
47977,15900,2005.0,ram,,,gas,99702.0,clean,automatic,other,white
47978,34900,2008.0,ford,f-450,,gas,67262.0,clean,automatic,other,custom
47979,21900,2009.0,chevrolet,silverado,,gas,114724.0,clean,automatic,other,white
47980,21900,2008.0,ford,f-350,,gas,103517.0,clean,automatic,other,white
47981,15900,2004.0,chevrolet,silverado,,gas,100702.0,clean,automatic,other,white
47982,25900,2003.0,ford,f-450,,gas,162260.0,clean,automatic,other,white
47983,29900,1999.0,ford,f-350,,gas,52073.0,clean,automatic,other,white
47984,29997,2005.0,toyota,tacoma v6 4dr double cab 1-owner* rust free*arizona truck since new* 6-speed manual*rear lockers*trd off road*leveling kit*rear air bags* zero accidents* all records since new,,gas,96564.0,clean,manual,pickup,silver
47985,59997,2005.0,ford,excursion limited 55k miles*1-owner*diesel*rust free*collector quality*like new in&out*all original*new wheels & tires*unicorn alert,,diesel,55469.0,clean,automatic,SUV,black
47986,0,2018.0,kia,optima,,hybrid,44181.0,clean,automatic,sedan,silver
47987,6995,2004.0,audi,a4 1.8t avant quattro,,gas,94532.0,clean,manual,wagon,silver
47988,15990,2007.0,toyota,tundra sr5,,gas,268866.0,clean,automatic,pickup,white
47989,13995,2016.0,dodge,jouney,,gas,98009.0,clean,automatic,,
47990,0,2017.0,,ALL MAKES,,other,100000.0,clean,other,,
47991,8915,2015.0,hyundai,,like new,gas,125437.0,clean,automatic,sedan,red
47992,0,2017.0,,ALL MAKES,,other,100000.0,clean,other,,
47993,8512,2012.0,,scion xd,excellent,gas,125755.0,clean,automatic,SUV,blue
47994,13911,2011.0,buick,enclave,excellent,gas,100567.0,clean,automatic,SUV,silver
47995,11913,2013.0,ford,escape xlt,excellent,gas,63871.0,clean,automatic,SUV,white
